PopName,Area,Year,Month,Deaths
USA,01,1987,6,174520
USA,01,1987,7,180337
USA,01,1987,8,180337
USA,01,1987,9,174520
USA,01,1987,10,180337
USA,01,1987,11,174520
USA,01,1987,12,180337
USA,01,1988,1,183628
USA,01,1988,2,171781
USA,01,1988,3,183628
USA,01,1988,4,177705
USA,01,1988,5,183628
USA,01,1988,6,177705
USA,01,1988,7,183628
USA,01,1988,8,183628
USA,01,1988,9,177705
USA,01,1988,10,183628
USA,01,1988,11,177705
USA,01,1988,12,183628
USA,01,1989,1,182642
USA,01,1989,2,164967
USA,01,1989,3,182642
USA,01,1989,4,176751
USA,01,1989,5,182642
USA,01,1989,6,176751
USA,01,1989,7,182642
USA,01,1989,8,182642
USA,01,1989,9,176751
USA,01,1989,10,182642
USA,01,1989,11,176751
USA,01,1989,12,182642
USA,01,1990,1,182472
USA,01,1990,2,164814
USA,01,1990,3,182472
USA,01,1990,4,176586
USA,01,1990,5,182472
USA,01,1990,6,176586
USA,01,1990,7,182472
USA,01,1990,8,182472
USA,01,1990,9,176586
USA,01,1990,10,182472
USA,01,1990,11,176586
USA,01,1990,12,182472
USA,01,1991,1,184260
USA,01,1991,2,166429
USA,01,1991,3,184260
USA,01,1991,4,178317
USA,01,1991,5,184260
USA,01,1991,6,178317
USA,01,1991,7,184260
USA,01,1991,8,184260
USA,01,1991,9,178317
USA,01,1991,10,184260
USA,01,1991,11,178317
USA,01,1991,12,184260
USA,01,1992,1,184273
USA,01,1992,2,172385
USA,01,1992,3,184273
USA,01,1992,4,178329
USA,01,1992,5,184273
USA,01,1992,6,178329
USA,01,1992,7,184273
USA,01,1992,8,184273
USA,01,1992,9,178329
USA,01,1992,10,184273
USA,01,1992,11,178329
USA,01,1992,12,184273
USA,01,1993,1,192672
USA,01,1993,2,174026
USA,01,1993,3,192672
USA,01,1993,4,186456
USA,01,1993,5,192672
USA,01,1993,6,186456
USA,01,1993,7,192672
USA,01,1993,8,192672
USA,01,1993,9,186456
USA,01,1993,10,192672
USA,01,1993,11,186456
USA,01,1993,12,192672
USA,01,1994,1,193558
USA,01,1994,2,174827
USA,01,1994,3,193558
USA,01,1994,4,187315
USA,01,1994,5,193558
USA,01,1994,6,187315
USA,01,1994,7,193558
USA,01,1994,8,193558
USA,01,1994,9,187315
USA,01,1994,10,193558
USA,01,1994,11,187315
USA,01,1994,12,193558
USA,01,1995,1,196373
USA,01,1995,2,177369
USA,01,1995,3,196373
USA,01,1995,4,190038
USA,01,1995,5,196373
USA,01,1995,6,190038
USA,01,1995,7,196373
USA,01,1995,8,196373
USA,01,1995,9,190038
USA,01,1995,10,196373
USA,01,1995,11,190038
USA,01,1995,12,196373
USA,01,1996,1,196053
USA,01,1996,2,183404
USA,01,1996,3,196053
USA,01,1996,4,189729
USA,01,1996,5,196053
USA,01,1996,6,189729
USA,01,1996,7,196053
USA,01,1996,8,196053
USA,01,1996,9,189729
USA,01,1996,10,196053
USA,01,1996,11,189729
USA,01,1996,12,196053
USA,01,1997,1,196552
USA,01,1997,2,177531
USA,01,1997,3,196552
USA,01,1997,4,190212
USA,01,1997,5,196552
USA,01,1997,6,190212
USA,01,1997,7,196552
USA,01,1997,8,196552
USA,01,1997,9,190212
USA,01,1997,10,196552
USA,01,1997,11,190212
USA,01,1997,12,196552
USA,01,1998,1,198507
USA,01,1998,2,179296
USA,01,1998,3,198507
USA,01,1998,4,192103
USA,01,1998,5,198507
USA,01,1998,6,192103
USA,01,1998,7,198507
USA,01,1998,8,198507
USA,01,1998,9,192103
USA,01,1998,10,198507
USA,01,1998,11,192103
USA,01,1998,12,198507
USA,01,1999,1,203105
USA,01,1999,2,183450
USA,01,1999,3,203105
USA,01,1999,4,196553
USA,01,1999,5,203105
USA,01,1999,6,196553
USA,01,1999,7,203105
USA,01,1999,8,203105
USA,01,1999,9,196553
USA,01,1999,10,203105
USA,01,1999,11,196553
USA,01,1999,12,203105
USA,01,2000,1,203563
USA,01,2000,2,190429
USA,01,2000,3,203563
USA,01,2000,4,196996
USA,01,2000,5,203563
USA,01,2000,6,196996
USA,01,2000,7,203563
USA,01,2000,8,203563
USA,01,2000,9,196996
USA,01,2000,10,203563
