Year,Age,Gender,Population,Deaths
1959,20,Male,1070481,1945.0
1959,21,Female,1117552,728.0
1959,21,Male,1053818,2073.0
1959,22,Female,1075334,776.0
1959,22,Male,1000738,1930.0
1959,23,Female,1079754,747.0
1959,23,Male,1030550,1803.0
1959,24,Female,1090703,847.0
1959,24,Male,1045414,1753.0
1959,25,Female,1037955,890.0
1959,25,Male,991293,1793.0
1959,26,Female,1077734,923.0
1959,26,Male,1034928,1795.0
1959,27,Female,1127916,923.0
1959,27,Male,1095003,1826.0
1959,28,Female,1155559,1031.0
1959,28,Male,1128272,1857.0
1959,29,Female,1163836,1140.0
1959,29,Male,1115504,1941.0
1959,30,Female,1175878,1227.0
1959,30,Male,1121839,2140.0
1959,31,Female,1225837,1400.0
1959,31,Male,1183224,2228.0
1959,32,Female,1221079,1591.0
1959,32,Male,1170254,2377.0
1959,33,Female,1247090,1695.0
1959,33,Male,1191386,2536.0
1959,34,Female,1285117,1796.0
1959,34,Male,1226296,2785.0
1959,35,Female,1276696,1878.0
1959,35,Male,1215177,2952.0
1959,36,Female,1271248,2084.0
1959,36,Male,1201485,3136.0
1959,37,Female,1328523,2169.0
1959,37,Male,1267639,3420.0
1959,38,Female,1270036,2518.0
1959,38,Male,1205395,3754.0
1959,39,Female,1217497,2670.0
1959,39,Male,1160304,3989.0
1959,40,Female,1207558,2845.0
1959,40,Male,1148718,4380.0
1959,41,Female,1204233,2894.0
1959,41,Male,1160229,4358.0
1959,42,Female,1161452,3195.0
1959,42,Male,1117646,5173.0
1959,43,Female,1147433,3384.0
1959,43,Male,1101488,5581.0
1959,44,Female,1150226,3656.0
1959,44,Male,1109920,6210.0
1959,45,Female,1134162,3956.0
1959,45,Male,1095708,6752.0
1959,46,Female,1119711,4216.0
1959,46,Male,1084747,7166.0
1959,47,Female,1090430,4475.0
1959,47,Male,1059859,7924.0
1959,48,Female,1070852,5029.0
1959,48,Male,1040170,8638.0
1959,49,Female,1057562,5207.0
1959,49,Male,1031516,9341.0
1959,50,Female,1021010,5571.0
1959,50,Male,993994,9990.0
1959,51,Female,982858,5556.0
1959,51,Male,955706,10548.0
1959,52,Female,956999,6260.0
1959,52,Male,930427,11607.0
1959,53,Female,933700,6342.0
1959,53,Male,908762,12239.0
1959,54,Female,901016,6867.0
1959,54,Male,878111,12779.0
1959,55,Female,887588,6801.0
1959,55,Male,863733,13373.0
1959,56,Female,861456,7183.0
1959,56,Male,835526,13874.0
1959,57,Female,833513,7298.0
1959,57,Male,800299,13996.0
1959,58,Female,844182,9274.0
1959,58,Male,807931,16501.0
1959,59,Female,809007,9508.0
1959,59,Male,766040,17389.0
1959,60,Female,770686,9250.0
1959,60,Male,721265,16887.0
1959,61,Female,751835,9282.0
1959,61,Male,694819,17134.0
1959,62,Female,743265,11064.0
1959,62,Male,680867,19024.0
1959,63,Female,725586,11942.0
1959,63,Male,659019,20480.0
1959,64,Female,706961,12207.0
1959,64,Male,637572,21136.0
1959,65,Female,698339,13833.0
1959,65,Male,625617,22900.0
1959,66,Female,687334,13468.0
1959,66,Male,611899,22849.0
1959,67,Female,656044,14865.0
1959,67,Male,580100,23904.0
1959,68,Female,619713,15608.0
1959,68,Male,544573,23561.0
1959,69,Female,606682,16368.0
1959,69,Male,533230,24480.0
1959,70,Female,572855,17788.0
1959,70,Male,501317,25602.0
1959,71,Female,528393,16526.0
1959,71,Male,459178,24294.0
1959,72,Female,494759,18142.0
1959,72,Male,426277,24656.0
1959,73,Female,470166,18688.0
1959,73,Male,400064,24428.0
1959,74,Female,435785,19537.0
1959,74,Male,366052,24946.0
1959,75,Female,398105,20434.0
1959,75,Male,330484,24419.0
