Year,Gender,AgeGroupStart,avg_mx_5yr_band
1993,Male,0,0.0022982914255960203
1993,Male,5,0.00023089228940737305
1993,Male,10,0.00031611549191354105
1993,Male,15,0.001245676568979804
1993,Male,20,0.0016294896321973774
1993,Male,25,0.0017524207976930928
1993,Male,30,0.002295692558990416
1993,Male,35,0.002895921547655446
1993,Male,40,0.0037260865176146477
1993,Male,45,0.004920684451695965
1993,Male,50,0.007333731739789989
1993,Male,55,0.011531005093700471
1993,Male,60,0.018125612519152436
1993,Male,65,0.027876255254562794
1993,Male,70,0.041687879119311634
1993,Male,75,0.0640679801474234
1993,Male,80,0.10207089759013424
1993,Male,85,0.15835373574850262
1993,Male,90,0.23784635923680222
1993,Male,95,0.35726801398123464
1994,Female,0,0.001794541214261675
1994,Female,5,0.00016862069711186955
1994,Female,10,0.00018602763363414004
1994,Female,15,0.0004434704507833726
1994,Female,20,0.0005067038913131024
1994,Female,25,0.0006353525340682785
1994,Female,30,0.0008717999308812223
1994,Female,35,0.0012398269891003718
1994,Female,40,0.0017159944418210081
1994,Female,45,0.002651183394936258
1994,Female,50,0.004152090370630683
1994,Female,55,0.0065364896336458965
1994,Female,60,0.010350996914159125
1994,Female,65,0.015805621346060988
1994,Female,70,0.024449646627844053
1994,Female,75,0.03805684202606366
1994,Female,80,0.06410749050415498
1994,Female,85,0.1090042530714714
1994,Female,90,0.17891002919270313
1994,Female,95,0.2950857948231156
1994,Male,0,0.002195086285892032
1994,Male,5,0.00022505922900960314
1994,Male,10,0.0003081235894307011
1994,Male,15,0.00125056156042163
1994,Male,20,0.0016162381405793712
1994,Male,25,0.0017217069074693448
1994,Male,30,0.002301357434711122
1994,Male,35,0.002915898600599467
1994,Male,40,0.0037887884630185345
1994,Male,45,0.004942184059384133
1994,Male,50,0.007337837697609031
1994,Male,55,0.011151514759982502
1994,Male,60,0.01785155204949585
1994,Male,65,0.027111161669013662
1994,Male,70,0.040873186957661456
1994,Male,75,0.061882924065712795
1994,Male,80,0.10012748454569058
1994,Male,85,0.1557370516865187
1994,Male,90,0.2312072965128987
1994,Male,95,0.35116440313457775
1995,Female,0,0.0016967707220924568
1995,Female,5,0.00016485121267901547
1995,Female,10,0.0001933065863489538
1995,Female,15,0.00045217283752939895
1995,Female,20,0.0004945439988477604
1995,Female,25,0.0006251889776463874
1995,Female,30,0.0008767455624156924
1995,Female,35,0.0012565042286659654
1995,Female,40,0.0017672440055682248
1995,Female,45,0.0025948078356023896
1995,Female,50,0.004122113900998521
1995,Female,55,0.006547345121129343
1995,Female,60,0.01035462398145998
1995,Female,65,0.01566217727769417
1995,Female,70,0.024314295283417116
1995,Female,75,0.03813218268995984
1995,Female,80,0.06376407817303048
1995,Female,85,0.11095818594593365
1995,Female,90,0.17916881261796425
1995,Female,95,0.29913905607808133
1995,Male,0,0.002076038117657749
1995,Male,5,0.00022228719213356643
1995,Male,10,0.00030569227633092243
1995,Male,15,0.001182176139224274
1995,Male,20,0.0015808485696634134
1995,Male,25,0.0016729002762409378
1995,Male,30,0.0022493814577524197
1995,Male,35,0.0028939582539542485
1995,Male,40,0.003799398497277665
1995,Male,45,0.004957908659795637
1995,Male,50,0.007208546653372787
1995,Male,55,0.011008731441245407
