Year,Age,mx_male,mx_female,mx_diff
1958,4,0.000711082518117656,0.0006247783698516211,8.630414826603491e-05
1959,0,0.030999596977378373,0.02375554049535278,0.007244056482025592
1959,1,0.0018373026576451194,0.0016105232092415364,0.00022677944840358301
1959,2,0.0011634028621055382,0.0009230193873856669,0.00024038347471987132
1959,3,0.000872843639787904,0.0007108136319745693,0.0001620300078133347
1959,4,0.0007391440402581464,0.0006196085379569807,0.00011953550230116565
1959,5,0.000669471345865634,0.0005256365868244625,0.00014383475904117152
1959,6,0.0006059490710000826,0.00046172813771271223,0.00014422093328737037
1959,7,0.0005466430638811976,0.00039626759950994907,0.00015037546437124855
1959,8,0.0005181521371846369,0.0003263815394500158,0.00019177059773462115
1959,9,0.0005143374419370177,0.00033420614761226625,0.00018013129432475146
1959,10,0.0005075439226136817,0.00029900911538943155,0.00020853480722425014
1959,11,0.0005178839195350553,0.00030764245863641867,0.00021024146089863665
1959,12,0.0005324535396403561,0.00032476298807973444,0.00020769055156062162
1959,13,0.0006710700324605537,0.00033650180832165967,0.00033456822413889406
1959,14,0.0007391529307413703,0.0003820389403721466,0.00035711399036922374
1959,15,0.0009304610568263959,0.00046906654312412773,0.0004613945137022681
1959,16,0.0011265121870902785,0.0004962100654997287,0.0006303021215905498
1959,17,0.0013791678306424764,0.0005545133481515962,0.0008246544824908802
1959,18,0.0015620850313901877,0.000602880521554018,0.0009592045098361697
1959,19,0.0016576047292366078,0.0006326887410646007,0.001024915988172007
1959,20,0.0018169402352774127,0.0007035215409892926,0.0011134186942881202
1959,21,0.001967132844570884,0.000651423826363337,0.001315709018207547
1959,22,0.0019285767103877339,0.0007216362544102576,0.0012069404559774764
1959,23,0.001749551210518655,0.000691824248856684,0.0010577269616619711
1959,24,0.0016768476412215639,0.0007765633724304416,0.0009002842687911223
1959,25,0.001808748775589054,0.0008574552846703373,0.0009512934909187166
1959,26,0.0017344201722245412,0.00085642653938727,0.0008779936328372713
1959,27,0.0016675753399762374,0.0008183233503204139,0.0008492519896558235
1959,28,0.0016458797169476864,0.0008922088789927646,0.0007536708379549218
1959,29,0.0017400206543409975,0.0009795194511941544,0.0007605012031468431
1959,30,0.001907582104027405,0.0010434755986590445,0.0008641065053683606
1959,31,0.0018829908791572856,0.0011420768014018176,0.0007409140777554679
1959,32,0.002031182973952663,0.001302946001036788,0.0007282369729158752
1959,33,0.0021286132286261546,0.0013591641341041945,0.0007694490945219601
1959,34,0.00227106669189168,0.0013975381229880237,0.0008735285689036565
1959,35,0.002429275735139819,0.0014709844786856073,0.0009582912564542118
1959,36,0.002610103330461887,0.001639333945854782,0.0009707693846071049
1959,37,0.0026979289845137297,0.0016326401575283227,0.001065288826985407
1959,38,0.0031143318165414656,0.0019826209650750056,0.00113171085146646
1959,39,0.00343789213861195,0.002193023884247764,0.001244868254364186
1959,40,0.0038129462583506133,0.002355994494674376,0.0014569517636762374
1959,41,0.0037561550349112117,0.0024031894160017205,0.0013529656189094912
1959,42,0.0046284780690844865,0.002750867018180691,0.0018776110509037955
1959,43,0.005066782388913905,0.0029491918046631047,0.0021175905842508004
1959,44,0.005594997837681995,0.00317850578929706,0.002416492048384935
