Year,Age,Gender,Population,Deaths,MortalityRate,qx_est
2012,60,Female,1943038,12858.0,0.006617472226482447,0.006595624974905401
2012,60,Male,1801328,20376.0,0.011311654512670652,0.011247918295816395
2012,61,Female,1893234,13439.0,0.007098435798216174,0.00707330140960305
2012,61,Male,1741074,20854.0,0.011977664361193149,0.011906217678708919
2012,62,Female,1851460,13855.0,0.007483283462780725,0.00745535341001391
2012,62,Male,1702865,21695.0,0.01274029356408171,0.012659479586027422
2012,63,Female,1803081,15100.0,0.008374554443200278,0.008339585546535244
2012,63,Male,1650582,22442.0,0.013596416294373742,0.01350440251762175
2012,64,Female,1787775,16160.0,0.009039168799205717,0.008998438328502667
2012,64,Male,1635187,23839.0,0.01457876071666421,0.014473005136840578
2012,65,Female,1866434,17891.0,0.009585659069648323,0.009539863084794042
2012,65,Male,1705641,25435.0,0.014912282244622403,0.014801644798763891
2012,66,Female,1388560,15385.0,0.011079823702252694,0.011018668526859288
2012,66,Male,1252964,21565.5,0.017211587882812275,0.01706431464998237
2012,67,Female,1378179,15986.0,0.011599364088409416,0.011532350818811987
2012,67,Male,1231556,22229.5,0.018049930332035245,0.017888006043894955
2012,68,Female,1350852,17904.5,0.013254227702220525,0.013166777215484982
2012,68,Male,1195778,23802.0,0.019905032539484755,0.019708235294183418
2012,69,Female,1388845,19408.5,0.013974561596146438,0.013877370670507427
2012,69,Male,1221309,25890.0,0.02119856645615483,0.02097545616677743
2012,70,Female,1220498,19146.0,0.0156870392249721,0.015564638495973226
2012,70,Male,1060085,24726.0,0.023324544729903734,0.023054630153953815
2012,71,Female,1127135,19423.5,0.017232629631765493,0.01708499711831224
2012,71,Male,961966,24473.0,0.025440608088019744,0.02511972275000307
2012,72,Female,1072883,19727.5,0.018387373087279786,0.018219356712008805
2012,72,Male,907957,24873.0,0.02739446912133504,0.0270226437089357
2012,73,Female,1013050,20484.0,0.02022012733823602,0.020017071471609138
2012,73,Male,855530,25537.0,0.02984933316189964,0.0294082414760527
2012,74,Female,981315,22051.0,0.022470868171789893,0.022220278710694652
2012,74,Male,812726,26407.0,0.03249188533404862,0.03196969495800894
2012,75,Female,914381,22849.0,0.024988489480861915,0.024678861583648737
2012,75,Male,744416,26621.0,0.03576091862614452,0.035129051418664514
2012,76,Female,883001,24560.0,0.027814238035970513,0.02743098364754848
2012,76,Male,706342,27669.0,0.03917224234152861,0.03841493078222935
2012,77,Female,858500,26269.0,0.03059871869539895,0.03013531643507039
2012,77,Male,670655,29074.0,0.04335164876128561,0.04242539906749632
2012,78,Female,779620,26620.0,0.03414483979374567,0.03356848324171302
2012,78,Male,598992,28661.0,0.04784871918155835,0.04672201115589614
2012,79,Female,765408,29213.0,0.03816657259918893,0.03744740735045504
2012,79,Male,573211,30394.5,0.053024976840988745,0.05164367475865306
2012,80,Female,741952,31484.0,0.04243401190373501,0.04154629003008736
2012,80,Male,541946,31590.5,0.05829086292730272,0.05662448543615284
2012,81,Female,718621,33711.0,0.0469106803168847,0.045827379819641134
2012,81,Male,509877,33029.56,0.06477946642033275,0.06272585899166694
2012,82,Female,702052,36574.0,0.05209585614740789,0.05076212780364131
2012,82,Male,481525,34140.44,0.07090065936348061,0.06844557125890349
2012,83,Female,645073,37847.0,0.05867087910980618,0.05698291528897903
2012,83,Male,428149,34484.0,0.08054205428484008,0.07738389719249272
2012,84,Female,617550,40614.0,0.0657663347097401,0.06365036886014108
2012,84,Male,392513,35021.0,0.08922252256613157,0.08535797756199337
2012,85,Female,575464,42510.0,0.07387082423922262,0.07120833653773173
2012,85,Male,351927,34610.0,0.0983442588946003,0.093663164476262
2012,86,Female,524668,43891.0,0.0836548064680903,0.08025130739687314
2012,86,Male,305954,33600.0,0.10982043052223536,0.104004985791594
2012,87,Female,485942,45482.0,0.09359553197706723,0.08934898302146721
2012,87,Male,268826,32910.0,0.12242119437851993,0.11522437251062212
2012,88,Female,433219,45970.0,0.10611261278937442,0.10067663293965201
2012,88,Male,229304,31445.0,0.13713236576771448,0.12814518523787088
2012,89,Female,375846,45086.0,0.11995870649148853,0.11304293847006164
2012,89,Male,191718,28759.0,0.1500067807926225,0.13929785983745158
2012,90,Female,328677,44866.0,0.1365048360548502,0.12759789873499272
2012,90,Male,158325,27030.0,0.17072477498815727,0.15694642902654687
2012,91,Female,277873,41550.0,0.14952874154739756,0.13888631207585145
2012,91,Male,128213,23789.0,0.18554280767160897,0.16934672351285374
2012,92,Female,225480,37422.0,0.16596593932943055,0.15292491435651334
2012,92,Male,96771,19593.0,0.2024676814334873,0.18328712283896642
2012,93,Female,170593,31892.0,0.1869478818005428,0.17051303337397328
2012,93,Male,69032,15718.0,0.2276915053888052,0.20363010223350464
2012,94,Female,140381,29292.0,0.2086607161937869,0.18832942438614098
2012,94,Male,52986,13113.0,0.2474804665383309,0.21923452828561196
2012,95,Female,103752,24428.0,0.2354460636903385,0.20978171668256296
2012,95,Male,36533,9970.0,0.27290394985355704,0.23883410578646436
2012,96,Female,79607,20101.0,0.2525029205974349,0.22314605604163584
2012,96,Male,25457,7548.0,0.2964999803590368,0.25658435813449654
2012,97,Female,59226,16571.0,0.2797926586296559,0.2440595370607752
2012,97,Male,17620,5457.0,0.3097048808172531,0.2663365575663563
2012,98,Female,42573,12824.0,0.30122378033025626,0.26008782357240234
2012,98,Male,11633,3910.5,0.33615576377546635,0.2854881979081709
2012,99,Female,29078,9453.0,0.32509113419079716,0.27753849030326794
2012,99,Male,7437,2555.0,0.3435525077316122,0.2907537607444901
2013,0,Female,1921621,10321.0,0.005370986266282477,0.0053565883081578836
2013,0,Male,2009790,13119.0,0.006527547654232532,0.006506289494742856
2013,1,Female,1927304,728.0,0.0003777297198573759,0.00037765838896830495
2013,1,Male,2016044,929.0,0.00046080343484566807,0.00046069728124886744
2013,2,Female,1950116,427.0,0.00021896133358220742,0.0002189373632989211
2013,2,Male,2042931,589.0,0.0002883112547609293,0.00028826969706508
2013,3,Female,1954798,319.0,0.00016318821688992929,0.00016317490241712918
2013,3,Male,2038041,431.0,0.00021147759049008338,0.0002114552306806683
2013,4,Female,1956684,271.0,0.00013849962487555477,0.0001384900342452644
2013,4,Male,2037855,374.0,0.00018352630584609798,0.00018350946592382567
2013,5,Female,2019136,250.0,0.00012381533487590732,0.00012380767007369453
2013,5,Male,2104609,315.0,0.0001496715066789128,0.00014966030645779949
2013,6,Female,2026325,226.0,0.0001115319605690104,0.00011152574111117364
2013,6,Male,2116598,275.0,0.00012992547474768474,0.00012991703479869887
2013,7,Female,2008875,190.0,9.458029991910895e-05,9.457582734351266e-05
2013,7,Male,2099578,252.0,0.00012002411913251139,0.00012001691652607782
2013,8,Female,2004421,195.0,9.728495161445625e-05,9.728021958699262e-05
2013,8,Male,2091612,260.0,0.0001243060376398682,0.00012429831196447694
2013,9,Female,2010171,183.0,9.103703117794456e-05,9.103288743317339e-05
2013,9,Male,2094266,281.0,0.00013417588787670716,0.0001341668866948753
2013,10,Female,1996357,194.0,9.717700791992614e-05,9.71722863873925e-05
2013,10,Male,2077929,232.0,0.0001116496280671765,0.00011164339547942159
2013,11,Female,1987825,198.0,9.960635367801492e-05,9.960139312992222e-05
2013,11,Male,2069297,259.0,0.00012516328008980827,0.00012515544749325258
2013,12,Female,2035446,232.0,0.00011397993363616622,0.0001139734381703228
2013,12,Male,2122002,323.0,0.000152214748148211,0.00015220316407116297
2013,13,Female,2062095,293.0,0.0001420885070765411,0.00014207841298274904
2013,13,Male,2157355,382.0,0.00017706867900739562,0.0001770530032740858
2013,14,Female,2028021,302.0,0.00014891364537152228,0.0001489025582849246
2013,14,Male,2120660,498.0,0.00023483255212999727,0.00023480498112449233
2013,15,Female,2027712,348.0,0.00017162200549190418,0.00017160727927800767
2013,15,Male,2121065,698.0,0.0003290799669034188,0.000329025826030116
2013,16,Female,2034928,422.0,0.00020737834459007886,0.00020735684318751169
2013,16,Male,2125197,931.0,0.0004380770347407793,0.0004379810930070782
2013,17,Female,2046767,539.0,0.00026334213909057555,0.0002633074675930658
2013,17,Male,2148303,1301.0,0.0006055942760402048,0.0006054109408374364
2013,18,Female,2090205,655.0,0.00031336639229166517,0.00031331729817207776
2013,18,Male,2202868,1730.0,0.0007853398387919748,0.0007850315401725094
2013,19,Female,2132949,758.0,0.00035537652330177606,0.0003553133845446421
2013,19,Male,2253482,2099.0,0.0009314474222558689,0.0009310137597606793
2013,20,Female,2161049,860.0,0.0003979548820966114,0.0003978757085553175
2013,20,Male,2294324,2410.0,0.0010504183367301219,0.0010498668405065636
2013,21,Female,2225195,894.0,0.0004017625421592265,0.000401681846396329
2013,21,Male,2351202,2788.0,0.001185776466675343,0.0011850737115585153
2013,22,Female,2278993,976.0,0.00042825932330639013,0.0004281676333718343
2013,22,Male,2383517,2932.0,0.0012301149939354325,0.0012293587126224192
2013,23,Female,2280973,1067.0,0.00046778282776692226,0.0004676734344380984
2013,23,Male,2376875,3026.0,0.0012731001840652117,0.0012722901358198646
2013,24,Female,2192935,1103.0,0.0005029788844630598,0.0005028524117891564
2013,24,Male,2281782,2949.0,0.001292410931456204,0.0012915761281233618
2013,25,Female,2146552,1050.0,0.0004891565636425299,0.000489036946075383
2013,25,Male,2225237,2913.0,0.0013090740446972614,0.001308217581035609
2013,26,Female,2113849,1170.0,0.0005534927045403906,0.0005533395557102416
